player_name,team,bats,throws
Josh Bell,MIN,S,
Byron Buxton,MIN,R,
Tyler Heineman,TOR,S,
Tristan Gray,MIN,L,
Jesus Sanchez,TOR,L,
Daulton Varsho,TOR,L,
Trevor Larnach,MIN,L,
Nathan Lukes,TOR,L,
Kody Clemens,MIN,L,
Vladimir Guerrero Jr.,TOR,R,
Andres Gimenez,TOR,L,
Matt Wallner,MIN,L,
Kazuma Okamoto,TOR,R,
Ernie Clement,TOR,R,
Davis Schneider,TOR,R,
Ryan Jeffers,MIN,R,
Brooks Lee,MIN,S,
Luke Keaschall,MIN,R,
Giancarlo Stanton,NYY,R,
Aaron Judge,NYY,R,
Cody Bellinger,NYY,L,
Jake Fraley,TB ,L,
Ryan McMahon,NYY,L,
Yandy Diaz,TB ,R,
Cedric Mullins,TB ,L,
Nick Fortes,TB ,R,
Trent Grisham,NYY,L,
Jazz Chisholm,NYY,L,
Jonathan Aranda,TB ,L,
Austin Wells,NYY,L,
Taylor Walls,TB ,S,
Jose Caballero,NYY,R,
Junior Caminero,TB ,R,
Ben Rice,NYY,L,
Chandler Simpson,TB ,L,
Ben Williamson,TB ,R,
Willson Contreras,BOS,R,
Trevor Story,BOS,R,
Carlos Narvaez,BOS,R,
Nolan Gorman,STL,L,
Ivan Herrera,STL,R,
Alec Burleson,STL,L,
Wilyer Abreu,BOS,L,
Ceddanne Rafaela,BOS,R,
Jarren Duran,BOS,L,
Pedro Pages,STL,R,
Victor Scott II,STL,L,
Jordan Walker,STL,R,
Masyn Winn,STL,R,
Marcelo Mayer,BOS,L,
Thomas Saggese,STL,R,
Roman Anthony,BOS,L,
Caleb Durbin,BOS,R,
JJ Wetherholt,STL,L,
Jose Altuve,HOU,R,
Christian Walker,HOU,R,
Carlos Correa,HOU,R,
J.P. Crawford,SEA,L,
Josh Naylor,SEA,L,
Cal Raleigh,SEA,S,
Jeremy Pena,HOU,R,
Randy Arozarena,SEA,R,
Luke Raley,SEA,L,
Yordan Alvarez,HOU,L,
Isaac Paredes,HOU,R,
Yainer Diaz,HOU,R,
Julio Rodriguez,SEA,R,
Brendan Donovan,SEA,L,
Dominic Canzone,SEA,L,
Joey Loperfido,HOU,L,
Cam Smith,HOU,R,
Cole Young,SEA,L,
Manny Machado,SD ,R,
Xander Bogaerts,SD ,R,
Miguel Andujar,SD ,R,
Jake Cronenworth,SD ,L,
Willi Castro,COL,S,
Ramon Laureano,SD ,R,
Ty France,SD ,R,
Fernando Tatis Jr.,SD ,R,
Mickey Moniak,COL,L,
Edouard Julien,COL,L,
Luis Campusano,SD ,R,
Ezequiel Tovar,COL,R,
TJ Rumfield,COL,L,
Brenton Doyle,COL,R,
Troy Johnston,COL,L,
Kyle Karros,COL,R,
Hunter Goodman,COL,R,
Jackson Merrill,SD ,L,
Ildemaro Vargas,ARI,S,
Bryce Harper,PHI,L,
Nolan Arenado,ARI,R,
J.T. Realmuto,PHI,R,
Ketel Marte,ARI,S,
Trea Turner,PHI,R,
Kyle Schwarber,PHI,L,
Alec Bohm,PHI,R,
Adolis Garcia,PHI,R,
Brandon Marsh,PHI,L,
Gabriel Moreno,ARI,R,
Geraldo Perdomo,ARI,S,
Alek Thomas,ARI,L,
Jorge Barrosa,ARI,S,
Adrian Del Castillo,ARI,L,
Bryson Stott,PHI,L,
Corbin Carroll,ARI,L,
Justin Crawford,PHI,L,
Marcus Semien,NYM,R,
Jorge Polanco,NYM,S,
Francisco Lindor,NYM,S,
Jeff McNeil,ATH,L,
Carlos Cortes,ATH,L,
Bo Bichette,NYM,R,
Mark Vientos,NYM,R,
Shea Langeliers,ATH,R,
Lawrence Butler,ATH,L,
Denzel Clarke,ATH,R,
Luis Robert,NYM,R,
Francisco Alvarez,NYM,R,
Brett Baty,NYM,L,
Tyler Soderstrom,ATH,L,
Max Muncy,ATH,R,
Nick Kurtz,ATH,L,
Carson Benge,NYM,L,
Jacob Wilson,ATH,R,
Christian Yelich,MIL,L,
Jake Bauers,MIL,L,
Keibert Ruiz,WAS,S,
William Contreras,MIL,R,
Blake Perkins,MIL,S,
David Hamilton,MIL,L,
Brice Turang,MIL,L,
Garrett Mitchell,MIL,L,
Luis Garcia,WAS,L,
Jose Tena,WAS,L,
C.J. Abrams,WAS,L,
Nasim Nunez,WAS,S,
Sal Frelick,MIL,L,
Joey Ortiz,MIL,R,
Brady House,WAS,R,
James Wood,WAS,L,
Daylen Lile,WAS,L,
Jacob Young,WAS,R,
Freddie Freeman,LAD,L,
Max Muncy,LAD,L,
Joc Pederson,TEX,L,
Teoscar Hernandez,LAD,R,
Brandon Nimmo,TEX,L,
Corey Seager,TEX,L,
Danny Jansen,TEX,R,
Shohei Ohtani,LAD,L,
Kyle Tucker,LAD,L,
Will Smith,LAD,R,
Jake Burger,TEX,R,
Josh Smith,TEX,L,
Josh Jung,TEX,R,
Andy Pages,LAD,R,
Alex Freeland,LAD,S,
Evan Carter,TEX,L,
Wyatt Langford,TEX,R,
Hyeseong Kim,LAD,L,
Salvador Perez,KC ,R,
Derek Hill,CHW,R,
Jonathan India,KC ,R,
Kyle Isbel,KC ,L,
Maikel Garcia,KC ,R,
Lenyn Sosa,CHW,R,
Bobby Witt Jr.,KC ,R,
Miguel Vargas,CHW,R,
Luisangel Acuna,CHW,R,
Vinnie Pasquantino,KC ,L,
Isaac Collins,KC ,S,
Tanner Murray,CHW,R,
Jac Caglianone,KC ,L,
Carter Jensen,KC ,L,
Colson Montgomery,CHW,L,
Edgar Quero,CHW,S,
Chase Meidroth,CHW,R,
Munetaka Murakami,CHW,L,
Austin Slater,MIA,R,
Gleyber Torres,DET,R,
Zach McKinstry,DET,L,
Xavier Edwards,MIA,S,
Otto Lopez,MIA,R,
Wenceel Perez,DET,S,
Spencer Torkelson,DET,R,
Connor Norby,MIA,R,
Kerry Carpenter,DET,L,
Heriberto Hernandez,MIA,R,
Agustin Ramirez,MIA,R,
Riley Greene,DET,L,
Colt Keith,DET,L,
Deyvison De Los Santos,MIA,R,
Javier Sanoja,MIA,R,
Dillon Dingler,DET,R,
Jakob Marsee,MIA,L,
Kevin McGonigle,DET,L,
Mike Trout,LAA,R,
Eugenio Suarez,CIN,R,
Jeimer Candelario,LAA,S,
Jorge Soler,LAA,R,
Yoan Moncada,LAA,S,
Ke'Bryan Hayes,CIN,R,
Tyler Stephenson,CIN,R,
Jo Adell,LAA,R,
Will Benson,CIN,L,
Spencer Steer,CIN,R,
Bryce Teodosio,LAA,R,
TJ Friedl,CIN,L,
Oswald Peraza,LAA,R,
Matt McLain,CIN,R,
Logan O'Hoppe,LAA,R,
Elly De La Cruz,CIN,S,
Zach Neto,LAA,R,
Sal Stewart,CIN,R,
Marcell Ozuna,PIT,R,
Alex Bregman,CHC,R,
Carson Kelly,CHC,R,
Dansby Swanson,CHC,R,
Ryan O'Hearn,PIT,L,
Nico Hoerner,CHC,R,
Ian Happ,CHC,S,
Brandon Lowe,PIT,L,
Oneil Cruz,PIT,L,
Bryan Reynolds,PIT,S,
Seiya Suzuki,CHC,R,
Henry Davis,PIT,R,
Michael Busch,CHC,L,
Spencer Horwitz,PIT,L,
Pete Crow-Armstrong,CHC,L,
Nick Gonzales,PIT,R,
Moises Ballesteros,CHC,L,
Konnor Griffin,PIT,R,
Taylor Ward,BAL,R,
Pete Alonso,BAL,R,
Tyler O'Neill,BAL,R,
Willy Adames,SF ,R,
Rafael Devers,SF ,L,
Luis Arraez,SF ,L,
Matt Chapman,SF ,R,
Harrison Bader,SF ,R,
Jerar Encarnacion,SF ,R,
Jeremiah Jackson,BAL,R,
Heliot Ramos,SF ,R,
Patrick Bailey,SF ,S,
Colton Cowser,BAL,L,
Gunnar Henderson,BAL,L,
Dylan Beavers,BAL,L,
Coby Mayo,BAL,R,
Samuel Basallo,BAL,L,
Jung Hoo Lee,SF ,L,
Mike Yastrzemski,ATL,L,
Austin Hedges,CLE,R,
Jose Ramirez,CLE,S,
Matt Olson,ATL,L,
Dominic Smith,ATL,L,
Eli White,ATL,R,
Mauricio Dubon,ATL,R,
