team,full_name,position,opponent,salary,dfs_avg,bust_pct,upside,pts_per_k
DET,Javier Baez,OF/SS,DET,2700.0,2.11,0.62,7,0.78
TEX,Ezequiel Duran,2B/3B,LAD,2100.0,2.05,0.63,6,0.98
SF,Jared Oliva,OF,BAL,2000.0,1.99,0.65,7,1.0
SF,Casey Schmitt,1B/2B,BAL,3000.0,1.98,0.65,7,0.66
STL,Yohel Pozo,C,STL,2000.0,1.96,0.63,7,0.98
PHI,Rafael Marchan,C,PHI,2300.0,1.95,0.61,6,0.85
ARI,Tim Tawa,1B/OF,PHI,2300.0,1.93,0.65,7,0.84
TB,Hunter Feduccia,C,TB,2600.0,1.9,0.59,5,0.73
SF,Daniel Susac,C,BAL,2200.0,1.89,0.65,5,0.86
SD,Freddy Fermin,C,SD,2300.0,1.88,0.6,5,0.82
MIA,Leo Jimenez,2B/SS,DET,2200.0,1.88,0.63,5,0.85
STL,Nathan Church,OF,STL,2600.0,1.84,0.67,5,0.71
COL,Jake Mc,OF,SD,2500.0,1.82,0.69,7,0.73
NYM,Luis Torrens,C,NYM,2700.0,1.77,0.58,5,0.66
MIN,Victor Caratini,1B/C,TOR,3000.0,1.72,0.67,5,0.57
SF,Christian Koss,2B,BAL,2500.0,1.7,0.61,5,0.68
SD,Nick Castellanos,1B/OF,SD,3000.0,1.69,0.69,5,0.56
DET,Jake Rogers,C,DET,2300.0,1.27,0.72,4,0.55
