GamePk,GameDate,GameTime,PlayerId,FullName,LastName,BatterStand,Side,Team,Opponent,BattingPosition,PlateAppearances,AtBats,Hits,Bases,Strikeouts,Walks,Singles,Doubles,Triples,HomeRuns,RBIs,Runs,StolenBaseAttempts,StolenBaseSuccesses,PointsDK,PointsFD,HomeRunProbability,HitProbability,StolenBaseProbability
822998,2026-04-12,1:40,650490,Yandy Diaz,Diaz,R,H,TB ,NYY,4,4.189,3.703,0.927,1.387,0.665,0.39,0.637,0.201,0.008,0.081,0.432,0.408,0.029,0.023,6.363,8.283,0.079,0.634,0.022
822998,2026-04-12,1:40,656775,Cedric Mullins,Mullins,L,H,TB ,NYY,6,3.92,3.45,0.636,1.04,1.19,0.402,0.398,0.142,0.026,0.07,0.341,0.346,0.197,0.163,5.804,7.604,0.068,0.492,0.152
822998,2026-04-12,1:40,663757,Trent Grisham,Grisham,L,A,NYY,TB ,1,4.736,4.031,0.868,1.522,1.144,0.614,0.545,0.152,0.011,0.16,0.441,0.604,0.142,0.123,8.013,10.619,0.148,0.6,0.118
822998,2026-04-12,1:40,665862,Jazz Chisholm,Chisholm,L,A,NYY,TB ,5,4.313,3.871,0.802,1.515,1.22,0.352,0.459,0.142,0.03,0.17,0.528,0.49,0.318,0.264,8.093,10.602,0.158,0.582,0.235
822998,2026-04-12,1:40,666018,Jonathan Aranda,Aranda,L,H,TB ,NYY,3,4.246,3.676,0.856,1.481,1.278,0.481,0.505,0.213,0.003,0.135,0.461,0.453,0.012,0.009,6.793,9.005,0.125,0.608,0.009
822998,2026-04-12,1:40,670764,Taylor Walls,Walls,S,H,TB ,NYY,8,3.728,3.363,0.735,1.11,0.994,0.283,0.499,0.157,0.018,0.06,0.358,0.331,0.161,0.13,5.625,7.268,0.059,0.542,0.121
822998,2026-04-12,1:40,676439,Hunter Feduccia,Feduccia,L,H,TB ,NYY,9,3.335,2.973,0.53,0.762,1.055,0.293,0.37,0.123,0.0,0.036,0.234,0.269,0.026,0.02,3.783,4.966,0.035,0.427,0.02
822998,2026-04-12,1:40,676609,Jose Caballero,Caballero,R,A,NYY,TB ,9,3.763,3.367,0.654,1.053,1.026,0.316,0.419,0.149,0.006,0.079,0.304,0.4,0.342,0.288,6.324,8.177,0.077,0.495,0.25
822998,2026-04-12,1:40,680700,Richie Palacios,Palacios,L,H,TB ,NYY,7,3.717,3.208,0.67,1.029,0.925,0.426,0.45,0.147,0.005,0.067,0.345,0.343,0.164,0.141,5.73,7.512,0.064,0.504,0.133
822998,2026-04-12,1:40,691406,Junior Caminero,Caminero,R,H,TB ,NYY,2,4.354,3.896,0.903,1.549,1.011,0.361,0.551,0.203,0.005,0.144,0.459,0.504,0.054,0.043,7.013,9.207,0.137,0.618,0.042
822998,2026-04-12,1:40,700250,Ben Rice,Rice,L,A,NYY,TB ,2,4.633,4.005,0.911,1.669,0.919,0.522,0.53,0.184,0.018,0.179,0.522,0.612,0.037,0.03,7.909,10.539,0.164,0.621,0.03
822998,2026-04-12,1:40,802415,Chandler Simpson,Simpson,L,H,TB ,NYY,1,4.518,4.175,1.001,1.259,0.514,0.23,0.766,0.213,0.021,0.001,0.272,0.444,0.45,0.377,7.319,9.103,0.001,0.663,0.32
823075,2026-04-12,2:15,575929,Willson Contreras,Contreras,R,A,BOS,STL,4,4.594,3.958,1.008,1.716,0.925,0.541,0.619,0.222,0.018,0.15,0.636,0.607,0.064,0.052,8.439,11.256,0.143,0.672,0.05
823075,2026-04-12,2:15,596115,Trevor Story,Story,R,A,BOS,STL,6,4.303,3.901,0.927,1.45,0.794,0.304,0.613,0.198,0.023,0.093,0.504,0.469,0.2,0.168,7.336,9.533,0.088,0.632,0.158
823075,2026-04-12,2:15,602104,Ramon Urias,Urias,R,H,STL,BOS,6,4.085,3.543,0.832,1.427,0.723,0.437,0.492,0.202,0.02,0.118,0.498,0.449,0.026,0.021,6.698,8.9,0.112,0.589,0.021
823075,2026-04-12,2:15,657136,Connor Wong,Wong,R,A,BOS,STL,8,3.817,3.369,0.871,1.257,0.589,0.359,0.626,0.168,0.012,0.065,0.404,0.41,0.088,0.067,6.141,7.974,0.064,0.619,0.065
823075,2026-04-12,2:15,665877,Jose Fermin,Fermin,R,H,STL,BOS,7,3.976,3.433,0.806,1.132,0.479,0.457,0.581,0.172,0.004,0.049,0.382,0.373,0.084,0.068,5.886,7.706,0.048,0.585,0.066
823075,2026-04-12,2:15,669357,Nolan Gorman,Gorman,L,H,STL,BOS,5,4.22,3.578,0.761,1.356,1.219,0.555,0.436,0.188,0.002,0.135,0.528,0.492,0.031,0.026,6.889,9.311,0.123,0.555,0.025
823075,2026-04-12,2:15,671056,Ivan Herrera,Herrera,R,H,STL,BOS,2,4.566,3.795,1.021,1.576,0.639,0.658,0.684,0.228,0.0,0.109,0.459,0.604,0.086,0.069,8.073,10.66,0.103,0.675,0.067
823075,2026-04-12,2:15,676475,Alec Burleson,Burleson,L,H,STL,BOS,3,4.358,3.796,1.008,1.518,0.473,0.466,0.7,0.2,0.011,0.096,0.505,0.516,0.062,0.049,7.373,9.669,0.091,0.667,0.048
823075,2026-04-12,2:15,677800,Wilyer Abreu,Abreu,L,A,BOS,STL,5,4.244,3.698,0.914,1.529,0.742,0.453,0.557,0.223,0.01,0.124,0.571,0.488,0.089,0.072,7.487,9.934,0.118,0.626,0.071
