Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
127566-79402,P,Cionel,Cionel Perez,Perez,3.5789473684210527,19,5500,WSH@CHC,WSH,CHC,,,,,,P
127566-228913,P,PJ,PJ Poulin,Poulin,4.892857142857143,28,5500,WSH@CHC,WSH,CHC,,,,,,P
127566-222783,P,Grant,Grant Taylor,Taylor,6.588235294117647,36,5500,CWS@MIL,CWS,MIL,,,,,0,P
127566-239167,P,Wilber,Wilber Dotel,Dotel,,0,5500,PIT@NYM,PIT,NYM,,,,,,P
127566-239165,P,Antwone,Antwone Kelly,Kelly,,0,5500,PIT@NYM,PIT,NYM,,,,,,P
127566-222786,P,Raul,Raul Alcantara,Alcantara,,0,5500,CWS@MIL,MIL,CWS,,,,,,P
127566-239169,P,Tyler,Tyler Samaniego,Samaniego,,0,5500,BOS@CIN,BOS,CIN,,,,,,P
127566-222784,P,Hagen,Hagen Smith,Smith,,0,5500,CWS@MIL,CWS,MIL,,,,,0,P
127566-239168,P,Brandan,Brandan Bidois,Bidois,,0,5500,PIT@NYM,PIT,NYM,,,,,,P
127566-181838,P,Abner,Abner Uribe,Uribe,6.275,80,5500,CWS@MIL,MIL,CWS,,,,,,P
127566-181842,P,Eli,Eli Villalobos,Villalobos,6.333333333333333,3,5500,DET@SD,SD,DET,,,,,,P
127566-181841,P,George,George Soriano,Soriano,5.333333333333333,24,5500,TB@STL,STL,TB,,,,,,P
127566-73301,P,Brent,Brent Suter,Suter,5.571428571428571,49,5500,LAA@HOU,LAA,HOU,,,,,,P
127566-222807,P,Alejandro,Alejandro Rosario,Rosario,,0,5500,WSH@CHC,WSH,CHC,O,Elbow,,,,P
127566-181845,P,Drew,Drew Rom,Rom,0,2,5500,CWS@MIL,MIL,CWS,,,,,,P
127566-228948,P,Alex,Alex Carrillo,Carrillo,1.6666666666666667,3,5500,PIT@NYM,NYM,PIT,,,,,,P
127566-181850,P,Colin,Colin Selby,Selby,6.2727272727272725,11,5500,MIN@BAL,BAL,MIN,IL,Shoulder,,,,P
127566-181848,P,Tom,Tom Cosgrove,Cosgrove,9,2,5500,LAA@HOU,HOU,LAA,,,,,,P
127566-222812,P,Jaden,Jaden Hamm,Hamm,,0,5500,DET@SD,DET,SD,,,,,,P
127566-226913,P,Yaramil,Yaramil Hiraldo,Hiraldo,5.111111111111111,18,5500,MIN@BAL,BAL,MIN,,,,,,P
127566-233067,P,Dylan,Dylan Ross,Ross,,0,5500,PIT@NYM,NYM,PIT,,,,,,P
127566-118381,P,Kyle,Kyle Finnegan,Finnegan,5.193548387096774,62,5500,DET@SD,DET,SD,,,,,,P
127566-222830,P,Travis,Travis Sykora,Sykora,,0,5500,WSH@CHC,WSH,CHC,O,Elbow,,,,P
127566-222828,P,Jacob,Jacob Webb,Webb,,0,5500,BOS@CIN,BOS,CIN,,,,,,P
127566-222834,P,Quinn,Quinn Mathews,Mathews,,0,5500,TB@STL,STL,TB,,,,,,P
127566-222833,P,Jarlin,Jarlin Susana,Susana,,0,5500,WSH@CHC,WSH,CHC,O,Lat,,,,P
127566-226929,P,Bradgley,Bradgley Rodriguez,Rodriguez,7.571428571428571,7,5500,DET@SD,SD,DET,,,,,,P
127566-222832,P,Alex,Alex Clemmey,Clemmey,,0,5500,WSH@CHC,WSH,CHC,,,,,,P
127566-222843,P,Jurrangelo,Jurrangelo Cijntje,Cijntje,,0,5500,TB@STL,STL,TB,,,,,,P
127566-81531,P,Drew,Drew Anderson,Anderson,,0,5500,DET@SD,DET,SD,,,,,,P
127566-118394,P,Yohan,Yohan Ramirez,Ramirez,8.041666666666666,24,5500,PIT@NYM,PIT,NYM,,,,,,P
127566-118397,P,Trevor,Trevor Megill,Megill,6.333333333333333,55,5500,CWS@MIL,MIL,CWS,,,,,,P
127566-210559,P,Brady,Brady Feigl,Feigl,-13,1,5500,MIN@BAL,MIN,BAL,,,,,,P
127566-222855,P,Ty,Ty Johnson,Johnson,,0,5500,TB@STL,TB,STL,,,,,,P
127566-222854,P,Brody,Brody Hopkins,Hopkins,,0,5500,TB@STL,TB,STL,,,,,,P
127566-165509,P,Bryce,Bryce Bonnin,Bonnin,,0,5500,TEX@PHI,TEX,PHI,,,,,,P
127566-110219,P,Sean,Sean Poppen,Poppen,,0,5500,LAA@HOU,LAA,HOU,,,,,,P
127566-222857,P,Jackson,Jackson Baumeister,Baumeister,,0,5500,TB@STL,TB,STL,,,,,,P
127566-222856,P,Trevor,Trevor Harrison,Harrison,,0,5500,TB@STL,TB,STL,,,,,,P
127566-190092,P,Devin,Devin Sweet,Sweet,,0,5500,BOS@CIN,BOS,CIN,,,,,,P
127566-73362,P,Rob,Rob Zastryzny,Zastryzny,4.615384615384615,26,5500,CWS@MIL,MIL,CWS,IL,Shoulder,,,,P
127566-163480,P,Anderson,Anderson Severino,Severino,,0,5500,PIT@NYM,NYM,PIT,,,,,,P
127566-226969,P,Brian,Brian Van Belle,Van Belle,8.5,4,5500,TB@STL,TB,STL,O,Elbow,,,,P
127566-226968,P,Kyle,Kyle Backhus,Backhus,3.21875,32,5500,TEX@PHI,PHI,TEX,,,,,,P
127566-220834,P,Nate,Nate Lavender,Lavender,,0,5500,PIT@NYM,NYM,PIT,DTD,Elbow,,,,P
127566-222881,P,Ryan,Ryan Johnson,Johnson,4.769230769230769,14,5500,LAA@HOU,LAA,HOU,,,,,,P
127566-169636,P,Beau,Beau Brieske,Brieske,3.272727272727273,22,5500,DET@SD,DET,SD,IL,Groin,,,,P
127566-220837,P,Evan,Evan Reifert,Reifert,,0,5500,TB@STL,TB,STL,,,,,,P
127566-226980,P,Andre,Andre Granillo,Granillo,6.428571428571429,14,5500,WSH@CHC,WSH,CHC,,,,,,P
127566-165545,P,Tanner,Tanner McDougal,McDougal,,0,5500,CWS@MIL,CWS,MIL,,,,,0,P
127566-220847,P,Grant,Grant Wolfram,Wolfram,6.809523809523809,21,5500,MIN@BAL,BAL,MIN,,,,,,P
127566-220845,P,Juan,Juan Nunez,Nunez,,0,5500,MIN@BAL,BAL,MIN,,,,,,P
127566-163507,P,Alan,Alan Rangel,Rangel,9.6,5,5500,TEX@PHI,PHI,TEX,,,,,,P
127566-165553,P,Dylan,Dylan Smith,Smith,7.285714285714286,7,5500,DET@SD,DET,SD,,,,,,P
127566-163511,P,Yunior,Yunior Marte,Marte,3.782608695652174,23,5500,BOS@CIN,CIN,BOS,,,,,,P
127566-114360,P,Devin,Devin Williams,Williams,5.871428571428571,71,5500,PIT@NYM,NYM,PIT,,,,,,P
127566-38596,P,Chris,Chris Martin,Martin,4.913043478260869,49,5500,TEX@PHI,TEX,PHI,,,,,,P
127566-165572,P,Noah,Noah Murdock,Murdock,3.4615384615384617,14,5500,PIT@NYM,PIT,NYM,,,,,,P
127566-165577,P,Sam,Sam Bachman,Bachman,4.0476190476190474,23,5500,LAA@HOU,LAA,HOU,,,,,,P
127566-81615,P,Tim,Tim Mayza,Mayza,4.933333333333334,15,5500,TEX@PHI,PHI,TEX,,,,,,P
127566-188115,P,Grant,Grant Hartwig,Hartwig,4.25,6,5500,MIN@BAL,MIN,BAL,,,,,,P
127566-222930,P,Logan,Logan VanWey,VanWey,3.888888888888889,9,5500,LAA@HOU,HOU,LAA,,,,,,P
127566-165584,P,Alejandro,Alejandro Hidalgo,Hidalgo,,0,5500,MIN@BAL,MIN,BAL,,,,,,P
127566-165585,P,Erik,Erik Rivera,Rivera,,0,5500,BOS@CIN,BOS,CIN,,,,,,P
127566-198352,P,Shane,Shane Drohan,Drohan,0,1,5500,CWS@MIL,MIL,CWS,,,,,,P
127566-222928,P,Michael,Michael Darrell-Hicks,Darrell-Hicks,5,7,5500,PIT@NYM,PIT,NYM,,,,,,P
127566-179924,P,Gavin,Gavin Hollowell,Hollowell,6.142857142857143,7,5500,WSH@CHC,CHC,WSH,,,,,,P
127566-198357,P,Ryan,Ryan Fernandez,Fernandez,3.7096774193548385,32,5500,TB@STL,STL,TB,,,,,,P
127566-198356,P,Justin,Justin Slaten,Slaten,3.972972972972973,38,5500,BOS@CIN,BOS,CIN,,,,,,P
127566-141024,P,Bruce,Bruce Zimmermann,Zimmermann,6,1,5500,TB@STL,STL,TB,,,,,,P
127566-81640,P,Yacksel,Yacksel Rios,Rios,,0,5500,WSH@CHC,CHC,WSH,,,,,,P
127566-81642,P,A.J.,A.J. Minter,Minter,5.3076923076923075,13,5500,PIT@NYM,NYM,PIT,IL,Lat,,,,P
127566-165621,P,Russell,Russell Smith,Smith,,0,5500,CWS@MIL,MIL,CWS,,,,,,P
127566-182005,P,Kevin,Kevin Kelly,Kelly,3.95,41,5500,TB@STL,TB,STL,,,,,,P
127566-165625,P,Calvin,Calvin Ziegler,Ziegler,,0,5500,PIT@NYM,NYM,PIT,DTD,Elbow,,,,P
127566-165628,P,Josh,Josh Walker,Walker,9,3,5500,MIN@BAL,BAL,MIN,,,,,,P
127566-165642,P,Mason,Mason Miller,Miller,7.758064516129032,62,5500,DET@SD,SD,DET,,,,,,P
127566-161545,P,Kaleb,Kaleb Ort,Ort,4.530612244897959,49,5500,LAA@HOU,LAA,HOU,,,,,,P
127566-165649,P,Colin,Colin Peluse,Peluse,,0,5500,TEX@PHI,PHI,TEX,,,,,,P
127566-161563,P,Jovani,Jovani Moran,Moran,9,2,5500,BOS@CIN,BOS,CIN,,,,,,P
127566-165657,P,Anthony,Anthony Solometo,Solometo,,0,5500,PIT@NYM,PIT,NYM,DTD,Shoulder,,,,P
127566-237343,P,Jose,Jose Franco,Franco,,0,5500,BOS@CIN,CIN,BOS,,,,,,P
127566-237345,P,Ryan,Ryan Harbin,Harbin,,0,5500,PIT@NYM,PIT,NYM,O,Lat,,,,P
127566-237344,P,Anthony,Anthony Nunez,Nunez,,0,5500,MIN@BAL,BAL,MIN,,,,,,P
127566-165671,P,Victor,Victor Lizarraga,Lizarraga,,0,5500,DET@SD,SD,DET,,,,,,P
127566-165673,P,Levi,Levi Stoudt,Stoudt,0,1,5500,TEX@PHI,PHI,TEX,,,,,,P
127566-182062,P,Gus,Gus Varland,Varland,5.230769230769231,26,5500,WSH@CHC,WSH,CHC,,,,,,P
127566-182064,P,Chris,Chris Clarke,Clarke,,0,5500,WSH@CHC,CHC,WSH,,,,,,P
127566-165684,P,Matt,Matt Mikulski,Mikulski,,0,5500,MIN@BAL,MIN,BAL,,,,,,P
127566-165695,P,Edwin,Edwin Nunez,Nunez,,0,5500,TB@STL,STL,TB,,,,,,P
127566-165696,P,Ian,Ian Bedell,Bedell,,0,5500,TB@STL,STL,TB,,,,,,P
127566-163654,P,Alexis,Alexis Diaz,Diaz,3.4444444444444446,18,5500,TEX@PHI,TEX,PHI,,,,,,P
127566-163655,P,Daniel,Daniel Duarte,Duarte,12,3,5500,PIT@NYM,NYM,PIT,,,,,,P
127566-163660,P,Steven,Steven Wilson,Wilson,4.620689655172414,59,5500,TB@STL,TB,STL,IL,Back,,,,P
127566-204624,P,Eric,Eric Orze,Orze,6.333333333333333,33,5500,MIN@BAL,MIN,BAL,,,,,,P
127566-204631,P,Hunter,Hunter Bigge,Bigge,5.3076923076923075,13,5500,TB@STL,TB,STL,,,,,,P
127566-165716,P,Sem,Sem Robberse,Robberse,0,2,5500,TB@STL,STL,TB,IL,Elbow,,,,P
127566-163673,P,Jorge,Jorge Juan,Juan,,0,5500,BOS@CIN,BOS,CIN,,,,,,P
127566-163682,P,Ethan,Ethan Roberts,Roberts,3.3,10,5500,WSH@CHC,CHC,WSH,,,,,,P
127566-163683,P,Ricky,Ricky Vanasco,Vanasco,4,4,5500,DET@SD,DET,SD,,,,,,P
127566-163687,P,Ron,Ron Marinaccio,Marinaccio,9.285714285714286,7,5500,DET@SD,SD,DET,,,,,,P
127566-163688,P,Collin,Collin Snider,Snider,4.791666666666667,24,5500,WSH@CHC,CHC,WSH,,,,,,P
127566-163697,P,Hagen,Hagen Danner,Danner,0,1,5500,BOS@CIN,CIN,BOS,,,,,,P
127566-163702,P,Logan,Logan Gillaspie,Gillaspie,9,3,5500,DET@SD,SD,DET,,,,,,P
127566-163701,P,Felix,Felix Bautista,Bautista,6.571428571428571,35,5500,MIN@BAL,BAL,MIN,IL,Shoulder,,,,P
127566-157600,P,Austin,Austin Warren,Warren,11.6,5,5500,PIT@NYM,NYM,PIT,,,,,,P
127566-102314,P,Lenny,Lenny Torres,Torres,,0,5500,TEX@PHI,PHI,TEX,,,,,,P
127566-102318,P,Ryan,Ryan Rolison,Rolison,3.5161290322580645,31,5500,WSH@CHC,CHC,WSH,,,,,,P
127566-102324,P,Konnor,Konnor Pilkington,Pilkington,4.90625,32,5500,DET@SD,DET,SD,,,,,,P
127566-102332,P,Jackson,Jackson Kowar,Kowar,5.6,15,5500,MIN@BAL,BAL,MIN,,,,,,P
127566-102334,P,Corbin,Corbin Martin,Martin,5.8125,17,5500,WSH@CHC,CHC,WSH,,,,,,P
127566-198619,P,Yuki,Yuki Matsui,Matsui,5.203389830508475,61,5500,DET@SD,SD,DET,IL,Groin,,,,P
127566-198618,P,Coleman,Coleman Crow,Crow,,0,5500,CWS@MIL,MIL,CWS,,,,,,P
127566-202726,P,Michel,Michel Otanez,Otanez,2,6,5500,TEX@PHI,TEX,PHI,,,,,,P
127566-102376,P,Garrett,Garrett Whitlock,Whitlock,7.870967741935484,63,5500,BOS@CIN,BOS,CIN,,,,,,P
127566-102386,P,Steven,Steven Jennings,Jennings,,0,5500,TEX@PHI,TEX,PHI,,,,,,P
127566-198655,P,Woo Suk,Woo Suk Go,Go,,0,5500,DET@SD,DET,SD,,,,,,P
127566-102399,P,Sam,Sam Carlson,Carlson,,0,5500,LAA@HOU,HOU,LAA,,,,,,P
127566-79282,OF,Juan,Juan Soto,Soto,14.203125,160,4400,PIT@NYM,NYM,PIT,,,,,,OF/UTIL
127566-60631,OF,Kyle,Kyle Schwarber,Schwarber,13.898193359375,166,4300,TEX@PHI,PHI,TEX,,,,,,OF/UTIL
127566-39086,OF,Byron,Byron Buxton,Buxton,13.45952400328621,126,4200,MIN@BAL,MIN,BAL,,,,,,OF/UTIL
127566-16952,SS,Francisco,Francisco Lindor,Lindor,12.52750015258789,160,4000,PIT@NYM,NYM,PIT,DTD,Hand,,,,SS/UTIL
127566-79393,OF,Fernando,Fernando Tatis Jr.,Tatis Jr.,11.987974529024921,158,4000,DET@SD,SD,DET,,,,,,OF/UTIL
127566-65881,SS,Trea,Trea Turner,Turner,12.089655172413794,145,3900,TEX@PHI,PHI,TEX,,,,,,SS/UTIL
127566-82575,OF,Yordan,Yordan Alvarez,Alvarez,9.414583206176758,48,3800,LAA@HOU,HOU,LAA,,,,,,OF/UTIL
127566-195679,3B,Junior,Junior Caminero,Caminero,11.835064776532061,154,3800,TB@STL,TB,STL,,,,,,3B/UTIL
127566-165513,SS,Elly,Elly De La Cruz,De La Cruz,11.607316924304497,164,3800,BOS@CIN,CIN,BOS,,,,,,SS/UTIL
127566-198870,OF,Roman,Roman Anthony,Anthony,11.008450360365316,71,3700,BOS@CIN,BOS,CIN,,,,,,OF/UTIL
127566-12948,1B,Bryce,Bryce Harper,Harper,11.390440996955423,136,3700,TEX@PHI,PHI,TEX,,,,,,C/1B/UTIL
127566-119306,SS,Gunnar,Gunnar Henderson,Henderson,10.753246753246753,154,3600,MIN@BAL,BAL,MIN,,,,,,SS/UTIL
127566-82614,1B,Pete,Pete Alonso,Alonso,11.94074089144483,162,3600,MIN@BAL,BAL,MIN,,,,,,C/1B/UTIL
127566-13929,3B,Manny,Manny Machado,Machado,10.857407558111497,162,3600,DET@SD,SD,DET,,,,,,3B/UTIL
127566-165661,OF,James,James Wood,Wood,11.550318626841163,157,3600,WSH@CHC,WSH,CHC,,,,,,OF/UTIL
127566-167012,OF,Seiya,Seiya Suzuki,Suzuki,11.04276760269261,159,3500,WSH@CHC,CHC,WSH,IL,Knee,,,,OF/UTIL
127566-38412,SS,Corey,Corey Seager,Seager,11.07058775658701,102,3500,TEX@PHI,TEX,PHI,,,,,,SS/UTIL
127566-165611,OF,Jackson,Jackson Chourio,Chourio,11.708571079799107,140,3500,CWS@MIL,MIL,CWS,,,,,,OF/UTIL
127566-135203,1B,Spencer,Spencer Torkelson,Torkelson,10.024539877300613,163,3400,DET@SD,DET,SD,,,,,,C/1B/UTIL
